"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/14/2025","Journal","","JOURNAL FRM ...021","","","","$933.47"
"07/14/2025 as of 07/11/2025","MoneyLink Transfer","","Tfr Wells Fargo Bank N, IRIS P CAMPOS","","","","$5000.00"
"07/11/2025","Sell","SNOXX","SCHWAB TREASURY OBLIG MONEY INV","1,066.35","$1.00","","$1066.35"
"07/11/2025","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","1,031.45","$1.00","","$1031.45"
"07/11/2025","Buy to Open","RKLB 10/17/2025 40.00 C","CALL ROCKET LAB CORP $40 EXP 10/17/25","3","$6.80","$1.98","-$2041.98"
"07/11/2025","Journaled Shares","RKLB 08/15/2025 38.00 C","CALL ROCKET LAB CORP $38 EXP 08/15/25","1","$5.30","",""
"07/11/2025","Journaled Shares","RGTI 08/01/2025 14.00 C","CALL RIGETTI COMPUTING I$14 EXP 08/01/25","2","$0.485","",""
"07/11/2025","Journal","","JOURNAL FRM ...021","","","","$330.01"
"07/11/2025","Buy to Open","RKLB 08/15/2025 38.00 C","CALL ROCKET LAB CORP $38 EXP 08/15/25","2","$5.30","$1.32","-$1061.32"
"07/11/2025","Buy","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","10","$22.005","","-$220.05"
"07/11/2025 as of 07/10/2025","MoneyLink Transfer","","Tfr Wells Fargo Bank N, IRIS P CAMPOS","","","","$1500.00"
"07/09/2025","Journaled Shares","TSLL","DIREXION DAILY TSLA BULL2X ETF","10","$10.09","",""
"07/09/2025","Journaled Shares","ONDS","ONDAS HLDGS INC","200","$1.84","",""
"07/09/2025","Journaled Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","355.73","$1.00","",""
"07/09/2025","Journal","","JOURNAL FRM ...021","","","","$819.47"
"07/09/2025","Journaled Shares","SNOXX","SCHWAB TREASURY OBLIG MONEY INV","1,066.35","$1.00","",""
"07/09/2025","Journaled Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","675.72","$1.00","",""
"07/09/2025","Journal","","JOURNAL FRM ...021","","","","$53.43"
